Yorum,Tahmin
"beğenme dillerin ise yet yok dimi, dizinde yatacak yerimiz yok,
",Olumsuz
"Cahil toplumlar anca karnını doyurur bu cennet vatan inşallah cahil kalmaz ne diyim.,
",Tarafsız
"Farklı bir sebep vardır egitimcisin maaşın güzel... İşsiz olup aylık 10-13 bin kira odeyen kapı kapı iş arayıp bulamayan insanları dusunceksin... Para gider gelir can yerine gelmez...,
",Olumsuz
"Nas vardı ne oldu bittimi öyleyse demekki bu işten anlamıyormuş nası yazan ben bunu anladım bu iccraatlardan,
",Olumsuz
"iki gün sonra misliyle geri gelir,
",Tarafsız
"bütün dünya güçleri onlarla birlikte mecbur iyi olucaz daha tam bağımsız olamadık bence en iyiside bu şimdilik..,
",Olumlu
"Bence bu hic iyi olmadi, zaten parasi olan gidiyordu adalara orada eziyorlardi paralari. ama simdi kolaylik olunca hadi birde Adalari gorelim diyecek orta halli gidip parayi oraya birakacak geri donup bizim sahillerde para harcayamayacak, en ucuz en kalitesize yonelecek. Bu hamle Yerli Turizimin tabutuna cakilan bir civi dir demedi demeyin...
",Olumsuz
"Vapur seferleri artacak, fiyatlar guncellenecek vs. vs.,
",Olumlu
"Aynı şaka gibi...Brüt nedir ya? Yiyorsa net rezervi açıklayın.,
",Olumsuz
"bakanlar lütfen kendi ailenizin cocuklarınızın giderlerini hesaplayıp aylık masraflarınızı hesaplayıp bu kararı verin çünki hepimiz bu vatanın evlatlarıyız sizin evinize giren yeme içme bizimde evimize girsin yaşam tarzımız aynı olsun.,
",Olumsuz
"Ben bi sütlü kahve alabilir miyim?,
",Olumsuz
"Kuveyt dinarı 93.97 olmuş !,
",Tarafsız
"şimdiye kadar ne beklendi. neden yapılmadı. ihtiyacı olan 100 bin TL lik arabayı 600 Bine aldı. yazık bu insanlara.,
",Olumsuz
"seçimden 1 ay sonra 50-55 arası olacağını düşünüyorum...,
",Tarafsız
"Tek marka değil tüm yabancı markalara boykot geçici değil kalıcı boykot.,
",Olumsuz
"devlet bedava vermek zorunda degil ki? ama verdigi halde yaranilamiyor...,
",Tarafsız
"Her sene aynı hikaye... hersene cebe inen milyonlar bizde inandık.. neden bu baştaki yiyiciler hiç değişmez,
",Olumsuz
"Gördünüz mü; din elden gidiyordu, şükürler olsun dini kurtardık...,
",Olumlu
"Tamam çim adam,
",Olumsuz
"Bizim müteahhitler,ilkokul mezunu emlakcilar duymasın.Tc vatandaşlığı ile satma iqsune sahipler sadece.,
",Olumlu
"sende israile destek oluyorsun. seni de boykot etmeli herkes bence..,
",Olumsuz
"KİT Taşeron işçisine verilen kadro sözünüzü ne zaman halledeceksiniz,
",Olumsuz
"Son bes yildir bu ucuncu haziran sozu dusmesede onemi yok artik beyniyok edilmis bir surusu var,
",Tarafsız
"Her seyimiz bi Tuhaf,cok zenginiz ya,
",Tarafsız
"İşi olmayan döviz almasa faizler düşse ülke kurtulur. Hükümete siyasal olarak karşı olan zenginler tüm paralarını dövize yatırarak dövizin yükselmesine sebep oluyorlar orta kesim de paramı koruyayım diye dövize yükleniyor. islami kesim faiz haram diye döviz alıp yastık altına koyuyor. Yabancı ülkelerde dövizle ülkeyi sıkıştırıyor. tefeci faizinden kredi kullandırıyor. kısır döngü devam ediyor. bu durum aynı zamanda enflasyonu körüklüyor. parası olan mutlu, olmayan skıntı çekiyor.,
",Olumsuz
"İnşallah 18 bin ve üstü olur.,
",Tarafsız
"aranan tek şartı sanırım hepimiz biliyoruz.,
",Olumlu
"Yani ÖLÜM satan 100 firma arasında anlamında diyorsunuz değil mi ? Keşke insanlığa faydalı işler yapan 10 000 ülke arasında olsaydık da , insanlığı yok edecek işlere bulaşmasaydık .,
",Olumsuz
"Kaz Dağlarını mahvedip doğa katliamına sebebiyet veren Kanadalı şirketin yaptığı kıyım ve kazancı aklıma geldi. Siyanür havuzları , kesilen binlerce ağaç vs vs . Böyle yapacaksanız hiç başlamayın. Hesler dahil...,
",Olumsuz
"Hatay da antepde urfada Adıyaman yıllardır yapılan şey halaa akillanmadilar belliki,
",Olumlu
"çok yerinde bir karar,
",Tarafsız
"Birazda İstanbul trafiğini çözecek şeyler yapsanız ? Tüm tüneller anadolu ya, doğuya , karadenize neden acaba ?,
",Tarafsız
"ÇINTAR :) off olsada bol soğanla kavursak.,
",Olumlu
"ben pek anlayamadım işçilere fazla paramı verin demek istiyor patronlar kıyamet yaklaşmış olmalı ahir zaman alametleri bunlar,
",Tarafsız
"telaşlanmaya gerek yok yılbaşında tüik her zamanki gibi enflasyon rakamlarını açıklarken gereken ayarlamaları yapar olan yine işçilere emeklilere olacak,
",Tarafsız
"Yanliş hesaplamışsınız bu 45 lik zaman 14 bin lira üzerinden hesaplanıyor yani ayrıxa özel sektörün yaptığı yüzde ?? camların yanında şimdiden eridi bile
",Olumsuz
"Ayrıca asgari ücrette de artış çok daha fazla olmalı insanlar en azından temel ihtiyacını rahatça karşılayabilmeli
",Tarafsız
"Çalanın değil çalışanın kazandığı ülke olmalı,
",Olumsuz
"Teknesi, Yatıyla keyif yapana akaryakıt ucuza verilip, traktörüyle insanlar için faydalı üretime sebep olan ekmeğinin peşinde olan çiftçiye yakıt daha pahalıya veriliyorsa söylenecek söz kalmamıştır.,
",Olumsuz
"O maaşa kendi çalışsın ben patron olsam 14025mi istiyor al 14500derim,
",Olumsuz
"Uzmanlar taban aylık üzerinden zam hesaplıyor siz ise 7500'den :(,
",Olumsuz
"tmmda her şeye bu oranda zam gelmesi lazım ama, başka şeye yüzde 300 zam gelirken... iyice çığırından çıktı ülke.,
",Tarafsız
"Enflasyon %62 kiraya %25 zam sizin adaletinizi seviyim,
",Olumsuz
"Yazik Cok yazik 85 milyon halkimiz 
",Olumsuz
"bu limonu tüketemiyormu yoksa disardan ithal mi ediliyor?,
",Tarafsız
